image,truth,easyocr:original,easyocr:gray,easyocr:gray_clahe,easyocr:gray_bilateral,easyocr:gray_median3,easyocr:gray_gauss3,easyocr:unsharp,easyocr:thresh_otsu,easyocr:thresh_adapt_mean,easyocr:thresh_adapt_gauss,easyocr:morph_open,easyocr:morph_close,easyocr:gamma_0.8,easyocr:gamma_1.2,easyocr:contrast_up,easyocr:bright_up,easyocr:denoise,easyocr:upscale_2x,easyocr:upscale_3x,pytesseract:original,pytesseract:gray,pytesseract:clahe,pytesseract:otsu,pytesseract:adapt_mean,pytesseract:adapt_gauss,pytesseract:gamma_0.8,pytesseract:gamma_1.2,pytesseract:contrast_up,pytesseract:bright_up,pytesseract:upscale_2x,paddleocr:original,paddleocr:gray,paddleocr:gray_clahe,paddleocr:gray_bilateral,paddleocr:gray_median3,paddleocr:gray_gauss3,paddleocr:unsharp,paddleocr:thresh_otsu,paddleocr:thresh_adapt_mean,paddleocr:thresh_adapt_gauss,paddleocr:morph_open,paddleocr:morph_close,paddleocr:gamma_0.8,paddleocr:gamma_1.2,paddleocr:contrast_up,paddleocr:bright_up,paddleocr:denoise,paddleocr:upscale_2x,paddleocr:upscale_3x,openai_vision:upscale_2x
1.png,HGJ1825,MA0AHGJ1825,MA0HGJ1825,MAHGJ1825,HGJ1825,HGJ1825,HGJ1825,AMOAHGJ1825,HGJ1825,HGJ1825,WMIHG97825,HGJ1825,HGJ1825,AAAHGJ1825,HGJ1825,HGJ1825,HGJ1825,HGJ1825,HGJ1825,MHGJA1825,IHGJ1825,IHGJ1825,,HGJ1925,,,a,,,IHGJ1825,HGJ1825,HGJ1825BELOMOBICONIW,HGJ18251100700801182W,HGJ182521007008073859,HGJ1825117IOD1II,HGJ182511007008011,HGJ182521000E87380,HGJ1825110801389,HGJ1825,HGJ1825,HGJF1825,HGJ18252100580N0110,HGJ182510Y1S,HGJ18251187Dn81830,HGJ1825118070080130T1,ADBELOMOEIEON11HGJ1825,HGJ182511NO0H07309,HGJI82511803001191,HGJ825118970801389,HGJ1825x1w9790n0138,HGJ1825
10.png,EMPTY,,,,,,,,,,,,,,,,,,,,ass,,Biss,,iiss,Fi2,TS,,,,,,,,,,,,,,,,,,,,,,,,EMPTY
119.png,HNR7709,HNR7709,HNR7709,HNR7709,HHR7O9,HNR7709,HNR770S,HNR7709,HNRT709,HNRZ709,HAR77,HNR77O9,HHR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HHR7709,HNR7709,HNR7709,HNR7709,HNR7708,HNR7708,HNR7709,HNR7709,HNR7709,fan7703,fin7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709,HNR7709
12.png,HQB9198,HQB9190,HQB9190,HQB9190,HQB9198,HQB9198,HQB9198,HDB9190,HQB9198,HQA998,LHQB9TA8,HQB9198,HDB9190,HD89190,HQB9198,HDB9198,HQB9198,HQB9198,HDB9190,HQB9198,HOB9198,HOB9198,HOB5198,HOB89198,HO89198,HOB9198,HOB9198,HOB9198,HOB9198,HOB9198,HOB9198,861680H,861680H,8616809,8616808,861680H,861680H,861680H,4089198,8089198,1089198,861680H,861680H,861680H,861680H,861680H,861680H,861680H,A089198,861,HQB9198
120.png,HIK1200,HXI200,HXI200,HKEEZOO,HXI200,WKEZOO,HXI200,HKEZOO,HIK200,HA0,HZZO,HKE2O,HXI200,HKE2O0,HXI200,HKI200,HKEZOO,HXE2O0,HKZOO,HKEZOO,Hik200,Hik200,Were,HIK200,RyICF200,,Were,Were,HiK200,HiK200,Wari,00Z1X10,00Z1X1H,HIK1200,00Z1XTH,01Z1EXTH,01Z1X1H,00Z1EX1H,H02iXIH,HIKE200,HE200,H1Z1X10,00Z1EXIH,00Z1EXTH,H1Z1X10,HIK1200,H1Z1X10,01Z1X10,HIK1200,HIK1200,HIK1200
121.png,HLM4224,,,,,,,,HU6274,06751,HL,,,,,,,,HL6S,HLELJ,HLM4224,,ieyrsTh,,wie,iHia234,HLM4224,HLM4224,HLM432HLM224,,HLae4224,HLM422,HLM422,HLCT127,,HL42,HLMA22,122,HLM4224,HLM4224,HLM7224,HLM422,,HLM422,HLM422,,HLM422,HLM422,HLM427,HLM422,HLM4224
122.png,D208,9208,9208,9208,9208,9208,9208,9208,,LOB,9108,9208,9208,9208,9208,,9208,9208,9208,0208,y2,FIO,,ae,7703,,5208,,,VV,7,208,208,208,1208,208,1208,208,,08,1208,208,208,208,208,,208,208,208,208,D208
124.png,HNO4294,HNC4294,HNC4294,HND429,0294,H4294,HO294,HNC4294,NMZ4254,HNJR9,HNA429,HC4294,HNO794,HNC4294,HNC4294,HNC4294,HNC4294,HL294,HNC4294,HNC4294,HNO4254,HNO4294,edHNO4254,HNs294,Tneaaddl,ng4294,HNO4254,HNO4254eeaes,HNC294ee,HNO4254,HNO4294elee,6Z7ONH,76Z7ONH,HNO4294,76ZON,7227ONI,76Z7ONH,F6Z7ONH,1627CNN,HND4294,7627CNH,16Z7ONH,7227ONH,76Z7ONH,7627ONH,T6Z7ONH,76Z7ONH,HND4294,22Z7ONH,76Z7ONH,HNO4294
125.png,B52,052,052,E52,,,,052,15S,653,652,052,,052,052,,052,052,E52,E52,,,fas2,,Ee,,las2,,ES,,la52,252,252,Z58,252,252,852,252,75E,352,352,852,25E,252,252,E5E,252,Z52,852,852,B52
127.png,HLM4,HLAF,HLAF,HLAZ,HLA,HLA,HLA,HLA,HLXI,ALTA,HLMY,HLAF,HLA,HLA,HLA,HLA,HLA,HLA,HLA,HLA4,HLM4,HLM4,DeryHEM,HLM4,onoeHLM4,VaHLM4,HLM4,HLM4,HLM4,HLM4,HLM4,HLM,HLM,HLM,,HLM,WTH,HLM,HLM,HLMZ,HLMZ,HLM,HLM,HLM,HLM,HLM4,HLM,HLM,HLM,HLM,HLM4
