image,truth,easyocr:original,easyocr:gray,easyocr:gray_clahe,easyocr:gray_bilateral,easyocr:gray_median3,easyocr:gray_gauss3,easyocr:unsharp,easyocr:thresh_otsu,easyocr:thresh_adapt_mean,easyocr:thresh_adapt_gauss,easyocr:morph_open,easyocr:morph_close,easyocr:gamma_0.8,easyocr:gamma_1.2,easyocr:contrast_up,easyocr:bright_up,easyocr:denoise,easyocr:upscale_2x,easyocr:upscale_3x,pytesseract:original,pytesseract:gray,pytesseract:clahe,pytesseract:otsu,pytesseract:adapt_mean,pytesseract:adapt_gauss,pytesseract:gamma_0.8,pytesseract:gamma_1.2,pytesseract:contrast_up,pytesseract:bright_up,pytesseract:upscale_2x,paddleocr:original,paddleocr:gray,paddleocr:gray_clahe,paddleocr:gray_bilateral,paddleocr:gray_median3,paddleocr:gray_gauss3,paddleocr:unsharp,paddleocr:thresh_otsu,paddleocr:thresh_adapt_mean,paddleocr:thresh_adapt_gauss,paddleocr:morph_open,paddleocr:morph_close,paddleocr:gamma_0.8,paddleocr:gamma_1.2,paddleocr:contrast_up,paddleocr:bright_up,paddleocr:denoise,paddleocr:upscale_2x,paddleocr:upscale_3x,openai_vision:upscale_2x
1.png,HGJ1825,4,3,2,0,0,0,4,0,0,5,0,0,3,0,0,0,0,0,2,1,1,7,1,7,7,7,7,7,1,0,13,14,14,9,11,11,9,0,0,1,12,5,11,14,15,11,12,13,12,0
10.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
119.png,HNR7709,0,0,0,3,0,1,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.png,HQB9198,1,1,1,0,0,0,2,0,2,3,0,2,3,0,1,0,0,2,0,1,1,2,2,2,1,1,1,1,1,1,7,7,7,6,7,7,7,3,3,3,7,7,7,7,7,7,7,3,6,0
120.png,HIK1200,3,3,6,3,6,3,5,1,5,6,4,3,3,3,2,5,4,5,5,1,1,7,1,4,7,7,7,1,1,7,5,6,0,6,7,6,7,6,1,3,4,7,7,4,0,4,5,0,0,0
121.png,HLM4224,7,7,7,7,7,7,7,4,7,5,7,7,7,7,7,7,7,5,5,0,7,7,7,7,5,0,0,5,7,2,1,1,4,7,3,2,5,0,0,1,1,7,1,1,7,1,1,2,1,0
122.png,D208,1,1,1,1,1,1,1,4,4,2,1,1,1,1,4,1,1,1,1,3,4,4,4,3,4,1,4,4,4,4,1,1,1,1,1,1,1,4,2,1,1,1,1,1,4,1,1,1,1,0
124.png,HNO4294,1,1,2,4,2,2,1,4,4,2,2,2,1,1,1,1,3,1,1,1,0,3,2,7,2,1,6,4,1,4,7,7,0,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,0
125.png,B52,1,1,1,3,3,3,1,2,2,1,1,3,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,0
127.png,HLM4,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,0,0,6,0,4,2,0,0,0,0,0,1,1,1,4,1,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0
128.png,HMY9805,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,0
133.png,HCH8852,1,1,1,2,2,1,2,1,1,1,2,1,1,2,3,1,1,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
134.png,EWT8701,7,6,6,7,6,7,6,7,4,3,6,7,6,6,7,4,7,5,7,7,7,5,7,7,2,7,7,6,7,7,1,1,1,1,1,1,2,7,7,7,0,2,1,2,7,0,1,1,1,0
136.png,OPB2065,5,6,5,7,5,5,6,7,7,7,6,6,4,5,7,5,7,5,5,7,1,7,6,7,7,1,7,5,7,7,6,6,7,6,7,6,6,7,7,5,7,6,6,6,7,6,6,7,6,0
139.png,2446,2,1,1,2,2,2,1,1,1,2,2,2,2,1,0,1,1,0,1,0,1,1,0,1,4,1,0,3,1,0,0,0,0,1,0,2,0,4,1,1,0,4,0,0,0,0,0,0,0,0
14.png,GZO45,3,3,4,5,4,3,3,5,5,5,4,3,5,4,4,2,5,1,3,4,3,5,5,6,4,3,4,3,3,5,2,2,3,5,1,5,2,5,4,2,3,1,4,2,2,3,5,3,3,0
141.png,HND4294,5,5,5,5,5,5,5,5,4,3,5,5,4,6,5,5,5,5,5,2,8,4,7,6,9,1,1,8,8,3,1,1,1,1,1,1,1,2,4,1,1,0,1,1,1,1,1,4,2,0
144.png,OLR2628,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
146.png,EMPTY,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
149.png,EMT6701,4,6,5,7,4,6,3,7,4,3,7,5,5,3,4,2,6,3,3,3,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,7,7,2,2,3,1,1,2,1,1,2,1,0
150.png,HIM9467,3,3,3,4,4,3,3,2,3,0,4,3,3,2,1,3,4,1,2,6,2,1,2,4,7,2,7,3,2,2,7,7,7,7,0,7,1,7,1,2,7,1,7,0,7,7,7,1,1,0
151.png,HHO2706,1,1,1,1,0,1,1,2,4,4,0,0,1,1,0,1,1,0,0,1,1,6,2,7,5,1,1,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0
158.png,ABC1234,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,12,13,7,0,2,0,11,24,0,5,4,0,0,11,10,10,11,10,12,10,11,13,13,10,11,10,10,11,10,11,14,13,0
16.png,HIK3309,1,2,7,1,1,1,2,5,3,2,2,2,1,4,4,2,2,0,1,3,3,5,3,0,2,3,7,7,3,2,0,1,7,1,1,7,4,7,0,0,1,1,3,0,7,0,1,7,7,0
