image,truth,easyocr:original,easyocr:gray,easyocr:gray_clahe,easyocr:gray_bilateral,easyocr:gray_median3,easyocr:gray_gauss3,easyocr:unsharp,easyocr:thresh_otsu,easyocr:thresh_adapt_mean,easyocr:thresh_adapt_gauss,easyocr:morph_open,easyocr:morph_close,easyocr:gamma_0.8,easyocr:gamma_1.2,easyocr:contrast_up,easyocr:bright_up,easyocr:denoise,easyocr:upscale_2x,easyocr:upscale_3x,pytesseract:original,pytesseract:gray,pytesseract:clahe,pytesseract:otsu,pytesseract:adapt_mean,pytesseract:adapt_gauss,pytesseract:gamma_0.8,pytesseract:gamma_1.2,pytesseract:contrast_up,pytesseract:bright_up,pytesseract:upscale_2x,paddleocr:original,paddleocr:gray,paddleocr:gray_clahe,paddleocr:gray_bilateral,paddleocr:gray_median3,paddleocr:gray_gauss3,paddleocr:unsharp,paddleocr:thresh_otsu,paddleocr:thresh_adapt_mean,paddleocr:thresh_adapt_gauss,paddleocr:morph_open,paddleocr:morph_close,paddleocr:gamma_0.8,paddleocr:gamma_1.2,paddleocr:contrast_up,paddleocr:bright_up,paddleocr:denoise,paddleocr:upscale_2x,paddleocr:upscale_3x,openai_vision:upscale_2x
1.png,HGJ1825,0.636,0.700,0.778,1.000,1.000,1.000,0.636,1.000,1.000,0.500,1.000,1.000,0.700,1.000,1.000,1.000,1.000,1.000,0.778,0.875,0.875,0.000,0.857,0.000,0.000,0.000,0.000,0.000,0.875,1.000,0.350,0.333,0.333,0.438,0.389,0.389,0.438,1.000,1.000,0.875,0.368,0.583,0.389,0.333,0.318,0.389,0.333,0.278,0.368,1.000
10.png,EMPTY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
119.png,HNR7709,1.000,1.000,1.000,0.571,1.000,0.857,1.000,0.857,0.857,0.571,0.857,0.857,1.000,1.000,1.000,1.000,1.000,0.857,1.000,1.000,1.000,0.857,0.857,1.000,1.000,1.000,0.429,0.571,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
12.png,HQB9198,0.857,0.857,0.857,1.000,1.000,1.000,0.714,1.000,0.714,0.625,1.000,0.714,0.571,1.000,0.857,1.000,1.000,0.714,1.000,0.857,0.857,0.714,0.750,0.714,0.857,0.857,0.857,0.857,0.857,0.857,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.571,0.571,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.143,1.000
120.png,HIK1200,0.571,0.571,0.143,0.571,0.143,0.571,0.286,0.857,0.286,0.143,0.429,0.571,0.571,0.571,0.714,0.286,0.429,0.286,0.286,0.857,0.857,0.000,0.857,0.500,0.000,0.000,0.000,0.857,0.857,0.000,0.286,0.143,1.000,0.143,0.125,0.143,0.125,0.143,0.857,0.571,0.429,0.125,0.125,0.429,1.000,0.429,0.286,1.000,1.000,1.000
121.png,HLM4224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.286,1.000,0.000,0.000,0.000,0.000,0.286,1.000,1.000,0.583,0.000,0.750,0.857,0.857,0.429,0.000,0.571,0.714,0.286,1.000,1.000,0.857,0.857,0.000,0.857,0.857,0.000,0.857,0.857,0.714,0.857,1.000
122.png,D208,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.000,0.000,0.500,0.750,0.750,0.750,0.750,0.000,0.750,0.750,0.750,0.750,0.250,0.000,0.000,0.000,0.250,0.000,0.750,0.000,0.000,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.000,0.500,0.750,0.750,0.750,0.750,0.750,0.000,0.750,0.750,0.750,0.750,1.000
124.png,HNO4294,0.857,0.857,0.714,0.429,0.714,0.714,0.857,0.429,0.429,0.714,0.714,0.714,0.857,0.857,0.857,0.857,0.571,0.857,0.857,0.857,1.000,0.667,0.714,0.125,0.714,0.857,0.500,0.500,0.857,0.636,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.000,1.000
125.png,B52,0.667,0.667,0.667,0.000,0.000,0.000,0.667,0.333,0.333,0.667,0.667,0.000,0.667,0.667,0.000,0.667,0.667,0.667,0.667,0.000,0.000,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.500,0.667,0.667,0.333,0.667,0.667,0.667,0.667,0.333,0.667,0.667,0.667,0.333,0.667,0.667,0.333,0.667,0.667,0.667,0.667,1.000
127.png,HLM4,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.250,0.750,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.750,1.000,1.000,0.143,1.000,0.500,0.667,1.000,1.000,1.000,1.000,1.000,0.750,0.750,0.750,0.000,0.750,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,1.000,0.750,0.750,0.750,0.750,1.000
