method,sum_distance,avg_score
easyocr:original,692,0.388
easyocr:gray,689,0.386
easyocr:gray_clahe,701,0.376
easyocr:gray_bilateral,723,0.345
easyocr:gray_median3,702,0.368
easyocr:gray_gauss3,695,0.379
easyocr:unsharp,690,0.388
easyocr:thresh_otsu,748,0.310
easyocr:thresh_adapt_mean,757,0.307
easyocr:thresh_adapt_gauss,743,0.326
easyocr:morph_open,705,0.371
easyocr:morph_close,708,0.365
easyocr:gamma_0.8,700,0.383
easyocr:gamma_1.2,684,0.390
easyocr:contrast_up,712,0.349
easyocr:bright_up,663,0.407
easyocr:denoise,743,0.333
easyocr:upscale_2x,696,0.391
easyocr:upscale_3x,682,0.399
pytesseract:original,752,0.335
pytesseract:gray,769,0.335
pytesseract:clahe,807,0.276
pytesseract:otsu,829,0.273
pytesseract:adapt_mean,1032,0.241
pytesseract:adapt_gauss,1245,0.225
pytesseract:gamma_0.8,709,0.353
pytesseract:gamma_1.2,772,0.311
pytesseract:contrast_up,762,0.317
pytesseract:bright_up,776,0.326
pytesseract:upscale_2x,813,0.302
paddleocr:original,762,0.351
paddleocr:gray,753,0.360
paddleocr:gray_clahe,762,0.338
paddleocr:gray_bilateral,732,0.365
paddleocr:gray_median3,750,0.363
paddleocr:gray_gauss3,778,0.321
paddleocr:unsharp,766,0.350
paddleocr:thresh_otsu,728,0.363
paddleocr:thresh_adapt_mean,658,0.419
paddleocr:thresh_adapt_gauss,682,0.437
paddleocr:morph_open,759,0.350
paddleocr:morph_close,750,0.355
paddleocr:gamma_0.8,773,0.336
paddleocr:gamma_1.2,725,0.380
paddleocr:contrast_up,721,0.385
paddleocr:bright_up,742,0.375
paddleocr:denoise,742,0.358
paddleocr:upscale_2x,762,0.359
paddleocr:upscale_3x,722,0.363
openai_vision:upscale_2x,144,0.951
